"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_305271","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_498885","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_311903","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_301312","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_305257","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_330807","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Bangui"
"EPI_ISL_355305","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_421439","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_364896","A/H1N1pdm09","Crick Worldwide Influenza Centre","University Teaching Hospital, MoH Zambia"
"EPI_ISL_341824","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_330376","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_421436","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_422474","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_428419","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_335879","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_321827","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_421442","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_331565","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_498908","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_330823","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute for Communicable Disease"
"MK692766","A/H1N1pdm09","US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses",NA
"EPI_ISL_498860","A/H1N1pdm09","Uganda Virus Research Institute","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_355269","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_329770","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_330806","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Bangui"
"EPI_ISL_309497","A/H1N1pdm09","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_421440","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_332833","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_314693","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_321824","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_329748","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_336636","A/H1N1pdm09","Centers for Disease Control and Prevention","Central Public Health Reference Laboratory"
"EPI_ISL_319839","A/H1N1pdm09","Centers for Disease Control and Prevention","Uganda Virus Research Institute (UVRI), National Influenza Center"
"EPI_ISL_330374","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_422484","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_422481","A/H1N1pdm09","KEMRI Wellcome Trust Research Programme (KWTRP)","Kenya Medical Research Institute"
"EPI_ISL_308466","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_355405","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_397269","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_355400","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_413806","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_388853","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_16018922","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_401584","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_401585","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_355426","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_449779","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_416174","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_378119","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_362255","A/H1N1pdm09","Centers for Disease Control and Prevention","National Influenza Lab"
"EPI_ISL_416154","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_491756","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_449783","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_401748","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_449752","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_535385","A/H1N1pdm09","CNR Virus des Infections Respiratoires - France SUD","Kenya Medical Research Institute (KEMRI)"
"EPI_ISL_418616","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_401589","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_16573172","A/H1N1pdm09","Ministry of Health and Wellness, Mauritius","National Influenza Centre, Department of Molecular Biology and Virology"
"EPI_ISL_409510","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_367997","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_449782","A/H1N1pdm09","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_508580","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_395370","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_409764","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_491752","A/H1N1pdm09","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_413787","A/H1N1pdm09","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_416158","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_416164","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_401744","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_426232","A/H1N1pdm09","Crick Worldwide Influenza Centre","Central Health Laboratory"
"EPI_ISL_1034782","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_508556","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_536805","A/H1N1pdm09","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_2932732","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institute National D'Hygiene"
"EPI_ISL_508565","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_528901","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_628785","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_882885","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_628798","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_527252","A/H1N1pdm09","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_1296421","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_1180148","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_1180145","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_508153","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_508563","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_1296409","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_1296411","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_628779","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_528900","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_508552","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_527251","A/H1N1pdm09","Crick Worldwide Influenza Centre","Laboratório de Isolamento Viral"
"EPI_ISL_628793","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_1296423","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_2932721","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_514741","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_628782","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_882887","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_528907","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_1034780","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_732306","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_628801","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_594233","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_514738","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_9402267","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_12805352","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Disease"
"EPI_ISL_12241630","A/H1N1pdm09","Crick Worldwide Influenza Centre","University of Ghana"
"EPI_ISL_7861818","A/H1N1pdm09","University of the Witwatersrand","Wits-VIDA"
"EPI_ISL_8541524","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_10824640","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_9713683","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_9713682","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_8541092","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_2625848","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_8576480","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_2918683","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_8809160","A/H1N1pdm09","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_7603572","A/H1N1pdm09","Centers for Disease Control and Prevention","NCDC Public Health Reference Laboratory"
"EPI_ISL_3534828","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_3534710","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_8808700","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_8576489","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_3534831","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_11495613","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_9713685","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_3796256","A/H1N1pdm09","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_2918688","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_2625855","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_2918707","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_9140517","A/H1N1pdm09","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_8576488","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_12942299","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_12241627","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_12942303","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_12241622","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_2625830","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute National D'Hygiene"
"EPI_ISL_17805811","A/H1N1pdm09",NA,"Import from public-domain"
"EPI_ISL_16830518","A/H1N1pdm09","Centers for Disease Control and Prevention","Institut Pasteur de Madagascar"
"EPI_ISL_14861051","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_14861156","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_16765007","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_13957803","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Institute for Communicable Disease"
"EPI_ISL_16765004","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_14467947","A/H1N1pdm09","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_16619605","A/H1N1pdm09","Kenya Medical Research Institute (KEMRI)","ARI Unit, Kenya Medical Research Institute (KEMRI - NIC), Centre for Virus Research Annex, P.O Box 54628"
"EPI_ISL_15286642","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_16834561","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_14212865","A/H1N1pdm09","Crick Worldwide Influenza Centre","Ministry of Health & Human Services"
"EPI_ISL_16619599","A/H1N1pdm09","Kenya Medical Research Institute (KEMRI)","ARI Unit, Kenya Medical Research Institute (KEMRI - NIC), Centre for Virus Research Annex, P.O Box 54628"
"EPI_ISL_14212867","A/H1N1pdm09","Crick Worldwide Influenza Centre","Ministry of Health & Human Services"
"EPI_ISL_14861722","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_17103039","A/H1N1pdm09","Centers for Disease Control and Prevention","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_13953922","A/H1N1pdm09","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_16749440","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_14861058","A/H1N1pdm09","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_16834682","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_17123723","A/H1N1pdm09","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_13399726","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_15393497","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_16647739","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_13954047","A/H1N1pdm09","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_15393504","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_15724535","A/H1N1pdm09","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_17103015","A/H1N1pdm09","Centers for Disease Control and Prevention","Ethiopian Public Health Institute, National Influenza Laboratory"
"EPI_ISL_13399720","A/H1N1pdm09","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_15286646","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_16764994","A/H1N1pdm09","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_17212627","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_16834439","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_15286649","A/H1N1pdm09","Centers for Disease Control and Prevention","University Teaching Hospital, MoH Zambia"
"EPI_ISL_300487","A/H1N1pdm09","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_297435","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_304562","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"MK949288","A/H1N1pdm09","University of Milan, Dep. of Biomedical Sciences for Health",NA
"EPI_ISL_308452","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_293054","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_302318","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_306001","A/H1N1pdm09","Instituto de Salud Carlos III","Servicio de Microbiología Hospital San Pedro de Alcántara"
"EPI_ISL_294088","A/H1N1pdm09","Crick Worldwide Influenza Centre","Robert Koch Institute Nationales Referenzzentrum für Influenza"
"EPI_ISL_308522","A/H1N1pdm09","Crick Worldwide Influenza Centre","Universidad de Valladolid"
"EPI_ISL_295059","A/H1N1pdm09","Istituto Superiore di Sanità (ISS)","AOU Meyer"
"EPI_ISL_304551","A/H1N1pdm09","Crick Worldwide Influenza Centre","Instituto de Salud Carlos III"
"EPI_ISL_297456","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_297471","A/H1N1pdm09","Statens Serum Institute",NA
"EPI_ISL_308450","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_291797","A/H1N1pdm09","Instituto de Salud Carlos III","Servicio de Microbiología Hospital Donostia"
"EPI_ISL_292954","A/H1N1pdm09","Instituto de Salud Carlos III","Instituto de Salud Carlos III"
"EPI_ISL_315811","A/H1N1pdm09","Centers for Disease Control and Prevention","National Institute for Medical Research"
"EPI_ISL_15082408","A/H1N1pdm09","Hospital Universitari Vall d'Hebron","Hospital Universitari Vall d'Hebron"
"EPI_ISL_308519","A/H1N1pdm09","Crick Worldwide Influenza Centre","Universidad de Valladolid"
"EPI_ISL_288727","A/H1N1pdm09","Robert Koch Institute Nationales Referenzzentrum für Influenza",NA
"EPI_ISL_304552","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institut Pasteur"
"EPI_ISL_291771","A/H1N1pdm09","Instituto de Salud Carlos III","Servicio de Microbiología Hospital Universitario Son Espases"
"EPI_ISL_291086","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_293052","A/H1N1pdm09","Institut Pasteur",NA
"EPI_ISL_293036","A/H1N1pdm09","Institut Pasteur",NA
"MK949292","A/H1N1pdm09","University of Milan, Dep. of Biomedical Sciences for Health",NA
"EPI_ISL_300493","A/H1N1pdm09","Crick Worldwide Influenza Centre","CNR Virus des Infections Respiratoires - France SUD"
"MK949289","A/H1N1pdm09","University of Milan, Dep. of Biomedical Sciences for Health",NA
"EPI_ISL_294109","A/H1N1pdm09","Crick Worldwide Influenza Centre","WHO National Influenza Centre"
"EPI_ISL_293728","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_308518","A/H1N1pdm09","Crick Worldwide Influenza Centre","Universidad de Valladolid"
"EPI_ISL_308451","A/H1N1pdm09","Crick Worldwide Influenza Centre","Istituto Superiore di Sanità"
"EPI_ISL_335411","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_338079","A/H1N1pdm09","Crick Worldwide Influenza Centre","National Centre for Preventive Medicine"
"EPI_ISL_315703","A/H1N1pdm09","Crick Worldwide Influenza Centre","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_329753","A/H1N1pdm09","Crick Worldwide Influenza Centre","UCD National Virus Reference Laboratory"
"MK400732","A/H1N1pdm09","United States Air Force, USAFSAM/PHE",NA
"EPI_ISL_315967","A/H1N1pdm09","Crick Worldwide Influenza Centre","Ministry of Health of Ukraine"
"EPI_ISL_301305","A/H1N1pdm09","Crick Worldwide Influenza Centre","Barcelona, Facultad de Medicina"
"EPI_ISL_335416","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_337031","A/H1N1pdm09","Istituto Superiore di Sanità (ISS)","University of Parma"
"EPI_ISL_319999","A/H1N1pdm09","Instituto Nacional de Saude  (INSA)","Instituto Nacional de Saude (INSA)"
"MK381483","A/H1N1pdm09","United States Air Force, USAFSAM/PHE",NA
"EPI_ISL_338891","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_338899","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_302617","A/H1N1pdm09","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_305998","A/H1N1pdm09","Instituto de Salud Carlos III","Instituto de Salud Carlos III"
"EPI_ISL_307063","A/H1N1pdm09","Robert Koch Institute Nationales Referenzzentrum für Influenza",NA
"EPI_ISL_298741","A/H1N1pdm09","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_314512","A/H1N1pdm09","Centers for Disease Control and Prevention","Institute of Epidemiology and Infectious Diseases AMS of Ukraine"
"EPI_ISL_347434","A/H1N1pdm09","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"MK829624","A/H1N1pdm09","Fondazione IRCCS Policlinico San Matteo, Microbiology and Virology",NA
"EPI_ISL_314696","A/H1N1pdm09","Crick Worldwide Influenza Centre","WHO National Influenza Centre"
